fecha,mes,producto,unidades,precio_unitario,ingresos
2026-01-06,enero,Tarjetas de presentación,1200,0.18,216.00
2026-01-13,enero,Volantes A5,8000,0.09,720.00
2026-01-20,enero,Catálogo grapado,450,2.10,945.00
2026-01-27,enero,Afiches A2,300,1.40,420.00
2026-02-03,febrero,Tarjetas de presentación,900,0.18,162.00
2026-02-10,febrero,Volantes A5,12000,0.09,1080.00
2026-02-17,febrero,Catálogo grapado,600,2.10,1260.00
2026-02-24,febrero,Afiches A2,250,1.40,350.00
2026-02-24,febrero,Adhesivos troquelados,2000,0.35,700.00
2026-03-02,marzo,Tarjetas de presentación,1500,0.18,270.00
2026-03-09,marzo,Volantes A5,6000,0.09,540.00
2026-03-16,marzo,Catálogo grapado,820,2.10,1722.00
2026-03-23,marzo,Afiches A2,180,1.40,252.00
2026-03-30,marzo,Adhesivos troquelados,3500,0.35,1225.00
2026-03-30,marzo,Catálogo cosido premium,120,6.80,816.00
